id_municipio,cep,quantidade_vinculos_ativos,ano
2211001,64048400,28,2023
2211001,64000300,87,2023
2211001,64003901,16,2023
2211001,64048180,67,2023
2211001,64000080,31,2023
2211001,64001570,34,2023
2211001,64002300,20,2023
2211001,64001390,20,2023
2211001,64001300,26,2023
2211001,64049130,12,2023
2211001,64001280,13,2023
2211001,64049518,19,2023
2211001,64049610,28,2023
2211001,64000060,25,2023
2211001,64052675,35,2023
2211001,64000240,66,2023
2211001,64003600,28,2023
2211001,64019200,38,2023
2211001,64046080,230,2023
2211001,64074000,14,2023
2211001,64052005,13,2023
2211001,64049536,11,2023
2211001,64048110,11,2023
2211001,64063010,1,2023
2211001,64011770,1,2023
2211001,64000240,1,2023
2211001,64036800,1,2023
2211001,64023015,1,2023
2211001,64000020,1,2023
2211001,64045120,1,2023
2211001,64019025,1,2023
2211001,64077280,1,2023
2211001,64078160,1,2023
2211001,64040003,1,2023
2211001,64020480,1,2023
2211001,64001010,1,2023
2211001,64056460,1,2023
2211001,64018560,1,2023
2211001,64010790,1,2023
2211001,64017020,1,2023
2211001,64079115,1,2023
2211001,64003085,1,2023
2211001,64009880,1,2023
2211001,64003200,1,2023
2211001,64019645,1,2023
2211001,64057429,1,2023
2211001,64052675,1,2023
2211001,64016700,1,2023
2211001,64001490,1,2023
2211001,64040782,1,2023
2211001,64066430,1,2023
2211001,64049030,1,2023
2211001,64058670,1,2023
2211001,64022150,1,2023
2211001,64018060,1,2023
2211001,64000200,1,2023
2211001,64046350,1,2023
2211001,64049548,1,2023
2211001,64016820,1,2023
2211001,64000180,1,2023
2211001,64076410,1,2023
2211001,64001290,1,2023
2211001,64019845,1,2023
2211001,64062160,1,2023
2211001,64002620,1,2023
2211001,64077270,1,2023
2211001,64038100,1,2023
2211001,64006700,1,2023
2211001,64005270,1,2023
2211001,64000360,1,2023
2211001,64027250,1,2023
2211001,64052345,1,2023
2211001,64040840,1,2023
2211001,64015030,1,2023
2211001,64090245,1,2023
2211001,64001030,1,2023
2211001,64034420,1,2023
2211001,64014055,1,2023
2211001,64000200,1,2023
2211001,64046010,1,2023
2211001,64014325,1,2023
2211001,64023580,1,2023
2211001,64049370,1,2023
2211001,64006220,1,2023
2211001,64017755,1,2023
2211001,64057310,1,2023
2211001,64040605,1,2023
2211001,64040852,1,2023
2211001,64015030,1,2023
2211001,64049320,1,2023
2211001,64001300,1,2023
2211001,64000370,1,2023
2211001,64009500,1,2023
2211001,64019740,1,2023
2211001,64003685,1,2023
2211001,64017090,1,2023
2211001,64045440,1,2023
2211001,64001902,1,2023
2211001,64001560,1,2023
2211001,       0,1,2023
2211001,64023116,1,2023
